Fishnet_ID,AET_mean,PT_mean,SM_mean,GDP_Mean,Pesticide
0,NA,NA,NA,NA,0
1,NA,NA,NA,NA,0
2,NA,NA,NA,NA,0
3,NA,NA,NA,NA,0
4,NA,NA,NA,NA,0
5,NA,NA,NA,NA,0
6,NA,NA,NA,NA,0
7,NA,NA,NA,NA,0
8,NA,NA,NA,NA,0
9,NA,NA,NA,NA,0
10,NA,NA,NA,NA,0
11,NA,NA,NA,NA,0
12,NA,NA,NA,NA,0
13,NA,NA,NA,NA,0
14,9.654761905,0.567570547,0,1742.146302,17554
15,NA,NA,NA,NA,0
16,NA,NA,NA,NA,0
17,NA,NA,NA,NA,0
18,NA,NA,NA,NA,0
19,178.4255952,30.67140653,252.3271266,5002.57738,96527
20,NA,NA,NA,NA,0
21,NA,NA,NA,NA,0
22,NA,NA,NA,NA,0
23,NA,NA,NA,NA,0
24,988.4434524,119.0789141,1220.286806,183.9673847,0
25,NA,NA,NA,NA,0
26,NA,NA,NA,NA,0
27,NA,NA,NA,NA,0
28,NA,NA,NA,NA,0
29,NA,NA,NA,NA,0
30,NA,NA,NA,NA,0
31,NA,NA,NA,NA,0
32,NA,NA,NA,NA,0
33,NA,NA,NA,NA,0
34,NA,NA,NA,NA,0
35,NA,NA,NA,NA,0
36,NA,NA,NA,NA,0
37,NA,NA,NA,NA,0
38,2.19047619,25.43333333,500,NA,0
39,NA,NA,NA,NA,0
40,NA,NA,NA,NA,0
41,NA,NA,NA,NA,0
42,NA,NA,NA,NA,0
43,NA,NA,NA,NA,0
44,NA,NA,NA,NA,0
45,NA,NA,NA,NA,0
46,NA,NA,NA,NA,0
47,NA,NA,NA,NA,0
48,NA,NA,NA,NA,0
49,NA,NA,NA,NA,0
50,NA,NA,NA,NA,0
51,NA,NA,NA,NA,0
52,NA,NA,NA,NA,0
53,NA,NA,NA,NA,0
54,NA,NA,NA,NA,0
55,NA,NA,NA,NA,0
56,NA,NA,NA,NA,0
57,NA,NA,NA,NA,0
58,NA,NA,NA,NA,0
59,586.327381,61.94877345,360.9812637,387.7801545,5286
60,NA,NA,NA,NA,0
61,NA,NA,NA,NA,0
62,NA,NA,NA,NA,0
63,NA,NA,NA,NA,0
64,NA,NA,NA,NA,0
65,NA,NA,NA,NA,0
66,NA,NA,NA,NA,0
67,NA,NA,NA,NA,0
68,NA,NA,NA,NA,0
69,NA,NA,NA,NA,0
70,NA,NA,NA,NA,0
71,NA,NA,NA,NA,0
72,NA,NA,NA,NA,0
73,NA,NA,NA,NA,0
74,NA,NA,NA,NA,0
75,NA,NA,NA,NA,0
76,NA,NA,NA,NA,0
77,NA,NA,NA,NA,0
78,NA,NA,NA,NA,0
79,NA,NA,NA,NA,0
80,NA,NA,NA,NA,0
81,NA,NA,NA,NA,0
82,380.6785714,36.91964286,317.797619,24631.38853,686791
83,NA,NA,NA,NA,0
84,NA,NA,NA,NA,0
85,NA,NA,NA,NA,0
86,NA,NA,NA,NA,0
87,NA,NA,NA,NA,0
88,NA,NA,NA,NA,0
89,NA,NA,NA,NA,0
90,NA,NA,NA,NA,0
91,NA,NA,NA,NA,0
92,NA,NA,NA,NA,0
93,NA,NA,NA,NA,0
94,NA,NA,NA,NA,0
95,NA,NA,NA,NA,0
96,NA,NA,NA,NA,0
97,NA,NA,NA,NA,0
98,NA,NA,NA,NA,0
99,NA,NA,NA,NA,0
100,NA,NA,NA,NA,0
101,NA,NA,NA,NA,0
102,NA,NA,NA,NA,0
103,NA,NA,NA,NA,0
104,NA,NA,NA,NA,0
105,NA,NA,NA,NA,0
106,NA,NA,NA,NA,0
107,NA,NA,NA,NA,0
108,NA,NA,NA,NA,0
109,NA,NA,NA,NA,0
110,NA,NA,NA,NA,0
111,NA,NA,NA,NA,0
112,NA,NA,NA,NA,0
113,NA,NA,NA,NA,0
114,NA,NA,NA,NA,0
115,NA,NA,NA,NA,0
116,NA,NA,NA,NA,0
117,NA,NA,NA,NA,0
118,NA,NA,NA,NA,0
119,838.6190476,130.002442,1737.593603,454.770298,320037
120,NA,NA,NA,NA,0
121,NA,NA,NA,NA,0
122,NA,NA,NA,NA,0
123,NA,NA,NA,NA,0
124,NA,NA,NA,NA,0
125,NA,NA,NA,NA,0
126,NA,NA,NA,NA,0
127,NA,NA,NA,NA,0
128,NA,NA,NA,NA,0
129,NA,NA,NA,NA,0
130,NA,NA,NA,NA,0
131,NA,NA,NA,NA,0
132,NA,NA,NA,NA,0
133,NA,NA,NA,NA,0
134,NA,NA,NA,NA,0
135,NA,NA,NA,NA,0
136,NA,NA,NA,NA,0
137,NA,NA,NA,NA,0
138,NA,NA,NA,NA,0
139,NA,NA,NA,NA,0
140,NA,NA,NA,NA,0
141,NA,NA,NA,NA,0
142,NA,NA,NA,NA,0
143,NA,NA,NA,NA,0
144,NA,NA,NA,NA,0
145,NA,NA,NA,NA,0
146,NA,NA,NA,NA,0
147,NA,NA,NA,NA,0
148,NA,NA,NA,NA,0
149,NA,NA,NA,NA,0
150,NA,NA,NA,NA,0
151,NA,NA,NA,NA,0
152,NA,NA,NA,NA,0
153,NA,NA,NA,NA,0
154,699.9821429,95.68460648,873.1120914,NA,0
155,NA,NA,NA,NA,0
156,NA,NA,NA,NA,0
157,NA,NA,NA,NA,0
158,NA,NA,NA,NA,0
159,NA,NA,NA,NA,0
160,NA,NA,NA,NA,0
161,741.3869048,81.90881283,867.6637837,387.1450508,55
162,NA,NA,NA,NA,0
163,NA,NA,NA,NA,0
164,NA,NA,NA,NA,0
165,NA,NA,NA,NA,0
166,NA,NA,NA,NA,0
167,NA,NA,NA,NA,0
168,NA,NA,NA,NA,0
169,NA,NA,NA,NA,0
170,NA,NA,NA,NA,0
171,NA,NA,NA,NA,0
172,NA,NA,NA,NA,0
173,NA,NA,NA,NA,0
174,NA,NA,NA,NA,0
175,NA,NA,NA,NA,0
176,NA,NA,NA,NA,0
177,NA,NA,NA,NA,0
178,NA,NA,NA,NA,0
179,NA,NA,NA,NA,0
180,NA,NA,NA,NA,0
181,NA,NA,NA,NA,0
182,NA,NA,NA,NA,0
183,NA,NA,NA,NA,0
184,NA,NA,NA,NA,0
185,NA,NA,NA,NA,0
186,NA,NA,NA,NA,0
187,NA,NA,NA,NA,0
188,NA,NA,NA,NA,0
189,NA,NA,NA,NA,0
190,NA,NA,NA,NA,0
191,NA,NA,NA,NA,0
192,NA,NA,NA,NA,0
193,NA,NA,NA,NA,0
194,NA,NA,NA,NA,0
195,NA,NA,NA,NA,0
196,NA,NA,NA,NA,0
197,NA,NA,NA,NA,0
198,NA,NA,NA,NA,0
199,NA,NA,NA,NA,0
200,NA,NA,NA,NA,0
201,NA,NA,NA,NA,0
202,NA,NA,NA,NA,0
203,NA,NA,NA,NA,0
204,NA,NA,NA,NA,0
205,NA,NA,NA,NA,0
206,252.4880952,28.74805195,47.59230769,2161.113229,211358
207,NA,NA,NA,NA,0
208,NA,NA,NA,NA,0
209,NA,NA,NA,NA,0
210,NA,NA,NA,NA,0
211,NA,NA,NA,NA,0
212,NA,NA,NA,NA,0
213,NA,NA,NA,NA,0
214,NA,NA,NA,NA,0
215,NA,NA,NA,NA,0
216,NA,NA,NA,NA,0
217,NA,NA,NA,NA,0
218,NA,NA,NA,NA,0
219,NA,NA,NA,NA,0
220,NA,NA,NA,NA,0
221,NA,NA,NA,NA,0
222,NA,NA,NA,NA,0
223,NA,NA,NA,NA,0
224,NA,NA,NA,NA,0
225,NA,NA,NA,NA,0
226,NA,NA,NA,NA,0
227,NA,NA,NA,NA,0
228,NA,NA,NA,NA,0
229,NA,NA,NA,NA,0
230,NA,NA,NA,NA,0
231,NA,NA,NA,NA,0
232,NA,NA,NA,NA,0
233,NA,NA,NA,NA,0
234,NA,NA,NA,NA,0
235,NA,NA,NA,NA,0
236,NA,NA,NA,NA,0
237,NA,NA,NA,NA,0
238,NA,NA,NA,23616.9058,271772
239,NA,NA,NA,NA,0
240,NA,NA,NA,NA,0
241,NA,NA,NA,NA,0
242,NA,NA,NA,NA,0
243,NA,NA,NA,NA,0
244,NA,NA,NA,NA,0
245,NA,NA,NA,NA,0
246,NA,NA,NA,NA,0
247,NA,NA,NA,NA,0
248,NA,NA,NA,NA,0
249,NA,NA,NA,NA,0
250,400.7202381,44.72354497,924.8814757,2161.113229,211358
251,5.797619048,NA,NA,NA,0
252,NA,NA,NA,NA,0
253,NA,NA,NA,NA,0
254,NA,NA,NA,NA,0
255,NA,NA,NA,NA,0
256,NA,NA,NA,NA,0
257,NA,NA,NA,NA,0
258,NA,NA,NA,NA,0
259,NA,NA,NA,NA,0
260,NA,NA,NA,NA,0
261,NA,NA,NA,NA,0
262,NA,NA,NA,NA,0
263,NA,NA,NA,NA,0
264,NA,NA,NA,NA,0
265,NA,NA,NA,NA,0
266,NA,NA,NA,2161.113229,211358
267,NA,NA,NA,NA,0
268,NA,NA,NA,NA,0
269,NA,NA,NA,NA,0
270,NA,NA,NA,NA,0
271,NA,NA,NA,NA,0
272,NA,NA,NA,NA,0
273,NA,NA,NA,NA,0
274,NA,NA,NA,NA,0
275,870.9315476,249.792011,560.3040997,2065.427423,16571
276,NA,NA,NA,NA,0
277,NA,NA,NA,NA,0
278,178.3035714,18.35131712,33.92590618,6448.150281,615513
279,NA,NA,NA,NA,0
280,NA,NA,NA,NA,0
281,NA,NA,NA,NA,0
282,NA,NA,NA,NA,0
283,NA,NA,NA,NA,0
284,NA,NA,NA,NA,0
285,NA,NA,NA,NA,0
286,NA,NA,NA,NA,0
287,NA,NA,NA,NA,0
288,NA,NA,NA,NA,0
289,NA,NA,NA,NA,0
