"","variable","importance"
"1","spatial_predictor_5_4",0.215
"2","spatial_predictor_5_3",0.206
"3","spatial_predictor_5_7",0.19
"4","spatial_predictor_5_10",0.18
"5","cassava_Fertilizer",0.173
"6","spatial_predictor_5_6",0.168
"7","Pesticide",0.159
"8","spatial_predictor_5_8",0.154
"9","AET_mean",0.135
"10","GDP_Mean",0.13
"11","cassavaBinaryGCO",0.05
"12","spatial_predictor_5_4",0.216
"13","spatial_predictor_5_3",0.204
"14","spatial_predictor_5_7",0.192
"15","spatial_predictor_5_10",0.181
"16","cassava_Fertilizer",0.174
"17","spatial_predictor_5_6",0.166
"18","Pesticide",0.157
"19","spatial_predictor_5_8",0.152
"20","AET_mean",0.135
"21","GDP_Mean",0.131
"22","cassavaBinaryGCO",0.052
"23","spatial_predictor_5_4",0.218
"24","spatial_predictor_5_3",0.204
"25","spatial_predictor_5_7",0.189
"26","spatial_predictor_5_10",0.178
"27","cassava_Fertilizer",0.172
"28","spatial_predictor_5_6",0.168
"29","Pesticide",0.159
"30","spatial_predictor_5_8",0.155
"31","AET_mean",0.134
"32","GDP_Mean",0.132
"33","cassavaBinaryGCO",0.051
"34","spatial_predictor_5_4",0.22
"35","spatial_predictor_5_3",0.203
"36","spatial_predictor_5_7",0.192
"37","spatial_predictor_5_10",0.177
"38","cassava_Fertilizer",0.172
"39","spatial_predictor_5_6",0.167
"40","Pesticide",0.158
"41","spatial_predictor_5_8",0.152
"42","AET_mean",0.136
"43","GDP_Mean",0.135
"44","cassavaBinaryGCO",0.053
"45","spatial_predictor_5_4",0.216
"46","spatial_predictor_5_3",0.206
"47","spatial_predictor_5_7",0.189
"48","spatial_predictor_5_10",0.182
"49","cassava_Fertilizer",0.173
"50","spatial_predictor_5_6",0.167
"51","Pesticide",0.156
"52","spatial_predictor_5_8",0.15
"53","AET_mean",0.137
"54","GDP_Mean",0.131
"55","cassavaBinaryGCO",0.049
