"","variable","importance"
"1","spatial_predictor_5_4",0.332
"2","spatial_predictor_5_3",0.3
"3","spatial_predictor_5_7",0.285
"4","spatial_predictor_5_10",0.283
"5","cassava_Fertilizer",0.262
"6","spatial_predictor_5_6",0.253
"7","spatial_predictor_5_8",0.241
"8","Pesticide",0.232
"9","AET_mean",0.219
"10","GDP_Mean",0.212
"11","cassavaBinaryGCO",0.083
"12","spatial_predictor_5_4",0.33
"13","spatial_predictor_5_3",0.298
"14","spatial_predictor_5_7",0.288
"15","spatial_predictor_5_10",0.287
"16","cassava_Fertilizer",0.262
"17","spatial_predictor_5_6",0.251
"18","spatial_predictor_5_8",0.241
"19","Pesticide",0.23
"20","AET_mean",0.22
"21","GDP_Mean",0.207
"22","cassavaBinaryGCO",0.086
"23","spatial_predictor_5_4",0.333
"24","spatial_predictor_5_3",0.297
"25","spatial_predictor_5_10",0.286
"26","spatial_predictor_5_7",0.284
"27","cassava_Fertilizer",0.26
"28","spatial_predictor_5_6",0.257
"29","spatial_predictor_5_8",0.246
"30","Pesticide",0.232
"31","AET_mean",0.22
"32","GDP_Mean",0.209
"33","cassavaBinaryGCO",0.085
"34","spatial_predictor_5_4",0.336
"35","spatial_predictor_5_3",0.296
"36","spatial_predictor_5_7",0.288
"37","spatial_predictor_5_10",0.282
"38","cassava_Fertilizer",0.262
"39","spatial_predictor_5_6",0.251
"40","spatial_predictor_5_8",0.24
"41","Pesticide",0.232
"42","AET_mean",0.216
"43","GDP_Mean",0.214
"44","cassavaBinaryGCO",0.085
"45","spatial_predictor_5_4",0.329
"46","spatial_predictor_5_3",0.3
"47","spatial_predictor_5_10",0.287
"48","spatial_predictor_5_7",0.285
"49","cassava_Fertilizer",0.262
"50","spatial_predictor_5_6",0.252
"51","spatial_predictor_5_8",0.236
"52","Pesticide",0.233
"53","AET_mean",0.221
"54","GDP_Mean",0.213
"55","cassavaBinaryGCO",0.085
