"","variable","importance"
"1","spatial_predictor_5_3",0.103
"2","spatial_predictor_5_4",0.102
"3","spatial_predictor_5_7",0.092
"4","cassava_Fertilizer",0.081
"5","spatial_predictor_5_10",0.08
"6","Pesticide",0.08
"7","spatial_predictor_5_6",0.079
"8","spatial_predictor_5_8",0.07
"9","AET_mean",0.062
"10","GDP_Mean",0.06
"11","cassavaBinaryGCO",0.023
"12","spatial_predictor_5_4",0.101
"13","spatial_predictor_5_3",0.101
"14","spatial_predictor_5_7",0.093
"15","cassava_Fertilizer",0.082
"16","spatial_predictor_5_10",0.081
"17","Pesticide",0.08
"18","spatial_predictor_5_6",0.078
"19","spatial_predictor_5_8",0.07
"20","AET_mean",0.062
"21","GDP_Mean",0.06
"22","cassavaBinaryGCO",0.022
"23","spatial_predictor_5_4",0.102
"24","spatial_predictor_5_3",0.101
"25","spatial_predictor_5_7",0.092
"26","cassava_Fertilizer",0.08
"27","spatial_predictor_5_10",0.079
"28","spatial_predictor_5_6",0.079
"29","Pesticide",0.079
"30","spatial_predictor_5_8",0.07
"31","AET_mean",0.062
"32","GDP_Mean",0.062
"33","cassavaBinaryGCO",0.023
"34","spatial_predictor_5_4",0.103
"35","spatial_predictor_5_3",0.1
"36","spatial_predictor_5_7",0.093
"37","spatial_predictor_5_10",0.081
"38","Pesticide",0.08
"39","cassava_Fertilizer",0.08
"40","spatial_predictor_5_6",0.079
"41","spatial_predictor_5_8",0.069
"42","GDP_Mean",0.061
"43","AET_mean",0.061
"44","cassavaBinaryGCO",0.024
"45","spatial_predictor_5_3",0.103
"46","spatial_predictor_5_4",0.102
"47","spatial_predictor_5_7",0.092
"48","spatial_predictor_5_10",0.082
"49","cassava_Fertilizer",0.081
"50","Pesticide",0.078
"51","spatial_predictor_5_6",0.078
"52","spatial_predictor_5_8",0.07
"53","AET_mean",0.063
"54","GDP_Mean",0.061
"55","cassavaBinaryGCO",0.022
