"","variable","importance"
"1","spatial_predictor_5_4",0.265
"2","spatial_predictor_5_3",0.246
"3","spatial_predictor_5_7",0.229
"4","spatial_predictor_5_10",0.226
"5","cassava_Fertilizer",0.211
"6","spatial_predictor_5_6",0.204
"7","Pesticide",0.192
"8","spatial_predictor_5_8",0.191
"9","AET_mean",0.171
"10","GDP_Mean",0.164
"11","cassavaBinaryGCO",0.064
"12","spatial_predictor_5_4",0.264
"13","spatial_predictor_5_3",0.247
"14","spatial_predictor_5_7",0.232
"15","spatial_predictor_5_10",0.226
"16","cassava_Fertilizer",0.211
"17","spatial_predictor_5_6",0.204
"18","Pesticide",0.191
"19","spatial_predictor_5_8",0.191
"20","AET_mean",0.169
"21","GDP_Mean",0.166
"22","cassavaBinaryGCO",0.067
"23","spatial_predictor_5_4",0.266
"24","spatial_predictor_5_3",0.244
"25","spatial_predictor_5_7",0.229
"26","spatial_predictor_5_10",0.224
"27","cassava_Fertilizer",0.21
"28","spatial_predictor_5_6",0.207
"29","spatial_predictor_5_8",0.194
"30","Pesticide",0.192
"31","AET_mean",0.168
"32","GDP_Mean",0.165
"33","cassavaBinaryGCO",0.067
"34","spatial_predictor_5_4",0.271
"35","spatial_predictor_5_3",0.242
"36","spatial_predictor_5_7",0.234
"37","spatial_predictor_5_10",0.22
"38","cassava_Fertilizer",0.211
"39","spatial_predictor_5_6",0.205
"40","Pesticide",0.19
"41","spatial_predictor_5_8",0.186
"42","GDP_Mean",0.172
"43","AET_mean",0.169
"44","cassavaBinaryGCO",0.064
"45","spatial_predictor_5_4",0.265
"46","spatial_predictor_5_3",0.246
"47","spatial_predictor_5_7",0.229
"48","spatial_predictor_5_10",0.228
"49","cassava_Fertilizer",0.211
"50","spatial_predictor_5_6",0.204
"51","Pesticide",0.192
"52","spatial_predictor_5_8",0.188
"53","AET_mean",0.171
"54","GDP_Mean",0.167
"55","cassavaBinaryGCO",0.063
