"","variable","importance"
"1","spatial_predictor_5_4",0.318
"2","spatial_predictor_5_3",0.285
"3","spatial_predictor_5_7",0.269
"4","spatial_predictor_5_10",0.267
"5","cassava_Fertilizer",0.247
"6","spatial_predictor_5_6",0.237
"7","spatial_predictor_5_8",0.231
"8","spatial_predictor_5_9",0.219
"9","Pesticide",0.212
"10","AET_mean",0.203
"11","GDP_Mean",0.198
"12","cassavaBinaryGCO",0.081
"13","spatial_predictor_5_4",0.317
"14","spatial_predictor_5_3",0.282
"15","spatial_predictor_5_7",0.269
"16","spatial_predictor_5_10",0.268
"17","cassava_Fertilizer",0.255
"18","spatial_predictor_5_6",0.238
"19","spatial_predictor_5_8",0.226
"20","Pesticide",0.219
"21","spatial_predictor_5_9",0.217
"22","AET_mean",0.203
"23","GDP_Mean",0.194
"24","cassavaBinaryGCO",0.083
"25","spatial_predictor_5_4",0.315
"26","spatial_predictor_5_3",0.287
"27","spatial_predictor_5_7",0.267
"28","spatial_predictor_5_10",0.266
"29","cassava_Fertilizer",0.247
"30","spatial_predictor_5_6",0.238
"31","spatial_predictor_5_8",0.231
"32","spatial_predictor_5_9",0.218
"33","Pesticide",0.216
"34","AET_mean",0.203
"35","GDP_Mean",0.199
"36","cassavaBinaryGCO",0.078
"37","spatial_predictor_5_4",0.317
"38","spatial_predictor_5_3",0.284
"39","spatial_predictor_5_7",0.266
"40","spatial_predictor_5_10",0.265
"41","cassava_Fertilizer",0.25
"42","spatial_predictor_5_6",0.238
"43","spatial_predictor_5_8",0.226
"44","Pesticide",0.221
"45","spatial_predictor_5_9",0.219
"46","AET_mean",0.201
"47","GDP_Mean",0.195
"48","cassavaBinaryGCO",0.081
"49","spatial_predictor_5_4",0.318
"50","spatial_predictor_5_3",0.281
"51","spatial_predictor_5_7",0.269
"52","spatial_predictor_5_10",0.265
"53","cassava_Fertilizer",0.252
"54","spatial_predictor_5_6",0.24
"55","spatial_predictor_5_8",0.227
"56","spatial_predictor_5_9",0.217
"57","Pesticide",0.214
"58","AET_mean",0.203
"59","GDP_Mean",0.2
"60","cassavaBinaryGCO",0.081
