"","variable","importance"
"1","spatial_predictor_5_4",0.372
"2","spatial_predictor_5_3",0.329
"3","spatial_predictor_5_10",0.318
"4","spatial_predictor_5_7",0.315
"5","cassava_Fertilizer",0.289
"6","spatial_predictor_5_6",0.283
"7","spatial_predictor_5_8",0.278
"8","spatial_predictor_5_9",0.252
"9","Pesticide",0.248
"10","AET_mean",0.247
"11","GDP_Mean",0.237
"12","cassavaBinaryGCO",0.099
"13","spatial_predictor_5_4",0.371
"14","spatial_predictor_5_3",0.324
"15","spatial_predictor_5_10",0.319
"16","spatial_predictor_5_7",0.311
"17","cassava_Fertilizer",0.298
"18","spatial_predictor_5_6",0.28
"19","spatial_predictor_5_8",0.28
"20","Pesticide",0.259
"21","spatial_predictor_5_9",0.251
"22","AET_mean",0.249
"23","GDP_Mean",0.232
"24","cassavaBinaryGCO",0.099
"25","spatial_predictor_5_4",0.365
"26","spatial_predictor_5_3",0.333
"27","spatial_predictor_5_10",0.317
"28","spatial_predictor_5_7",0.314
"29","cassava_Fertilizer",0.29
"30","spatial_predictor_5_6",0.283
"31","spatial_predictor_5_8",0.282
"32","Pesticide",0.252
"33","spatial_predictor_5_9",0.25
"34","AET_mean",0.248
"35","GDP_Mean",0.237
"36","cassavaBinaryGCO",0.1
"37","spatial_predictor_5_4",0.374
"38","spatial_predictor_5_3",0.328
"39","spatial_predictor_5_10",0.32
"40","spatial_predictor_5_7",0.313
"41","cassava_Fertilizer",0.29
"42","spatial_predictor_5_6",0.281
"43","spatial_predictor_5_8",0.278
"44","Pesticide",0.26
"45","spatial_predictor_5_9",0.255
"46","AET_mean",0.246
"47","GDP_Mean",0.23
"48","cassavaBinaryGCO",0.095
"49","spatial_predictor_5_4",0.375
"50","spatial_predictor_5_3",0.326
"51","spatial_predictor_5_10",0.316
"52","spatial_predictor_5_7",0.312
"53","cassava_Fertilizer",0.294
"54","spatial_predictor_5_6",0.285
"55","spatial_predictor_5_8",0.28
"56","spatial_predictor_5_9",0.251
"57","Pesticide",0.25
"58","AET_mean",0.245
"59","GDP_Mean",0.241
"60","cassavaBinaryGCO",0.097
