"","variable","importance"
"1","spatial_predictor_5_4",0.293
"2","spatial_predictor_5_3",0.284
"3","spatial_predictor_5_10",0.27
"4","spatial_predictor_5_7",0.257
"5","cassava_Fertilizer",0.24
"6","spatial_predictor_5_6",0.233
"7","Pesticide",0.225
"8","spatial_predictor_5_8",0.219
"9","AET_mean",0.208
"10","GDP_Mean",0.181
"11","cassavaBinaryGCO",0.173
"12","spatial_predictor_5_4",0.295
"13","spatial_predictor_5_3",0.282
"14","spatial_predictor_5_10",0.272
"15","spatial_predictor_5_7",0.259
"16","cassava_Fertilizer",0.241
"17","spatial_predictor_5_6",0.23
"18","Pesticide",0.224
"19","spatial_predictor_5_8",0.222
"20","AET_mean",0.207
"21","GDP_Mean",0.182
"22","cassavaBinaryGCO",0.174
"23","spatial_predictor_5_4",0.297
"24","spatial_predictor_5_3",0.283
"25","spatial_predictor_5_10",0.269
"26","spatial_predictor_5_7",0.258
"27","cassava_Fertilizer",0.24
"28","spatial_predictor_5_6",0.232
"29","Pesticide",0.221
"30","spatial_predictor_5_8",0.217
"31","AET_mean",0.205
"32","GDP_Mean",0.181
"33","cassavaBinaryGCO",0.173
"34","spatial_predictor_5_4",0.303
"35","spatial_predictor_5_3",0.281
"36","spatial_predictor_5_10",0.271
"37","spatial_predictor_5_7",0.258
"38","cassava_Fertilizer",0.241
"39","spatial_predictor_5_6",0.227
"40","Pesticide",0.222
"41","spatial_predictor_5_8",0.221
"42","AET_mean",0.203
"43","GDP_Mean",0.186
"44","cassavaBinaryGCO",0.178
"45","spatial_predictor_5_4",0.292
"46","spatial_predictor_5_3",0.284
"47","spatial_predictor_5_10",0.273
"48","spatial_predictor_5_7",0.257
"49","cassava_Fertilizer",0.241
"50","spatial_predictor_5_6",0.229
"51","Pesticide",0.224
"52","spatial_predictor_5_8",0.218
"53","AET_mean",0.206
"54","GDP_Mean",0.183
"55","cassavaBinaryGCO",0.174
