Fishnet_ID,BarleyError
19,0.084412492
24,0.092564566
82,0.099726514
119,0.09326798
161,0.089416541
356,0.086285921
363,0.089792426
464,0.097332909
469,0.102426409
556,0.068244055
566,0.113994861
579,0.082593424
665,0.117172888
671,0.126650018
733,0.088863875
758,0.126404083
842,0.122515882
889,0.077393958
956,0.092118253
1015,0.085998795
1058,0.087631902
1087,0.106627385
1105,0.097451932
1206,0.094610786
1256,0.091152111
1317,0.137282649
1415,0.114437356
1520,0.093340802
1529,0.092352193
1566,0.093183806
1581,0.090472457
1629,0.094528484
1666,0.123083467
1759,0.089164774
1797,0.13929102
2105,0.12149107
2228,0.093188757
2229,0.108323588
2288,0.111548224
2420,0.100794743
2457,0.080597836
1509,0.125068584
2389,0.13397606
2474,0.078459449
2592,0.101087303
2602,0.093483526
2628,0.068572746
2640,0.098081126
2666,0.117878185
2688,0.098471282
2692,0.12598615
2728,0.096962541
2735,0.080190266
2740,0.09738956
2760,0.083895116
2795,0.072839989
2798,0.117029391
2917,0.091772728
2952,0.127586658
2990,0.112904764
3005,0.090063271
3068,0.090595586
3079,0.059115811
3092,0.111053815
3280,0.09344232
3297,0.103188443
3302,0.091638665
3335,0.113183995
3560,0.101085648
3592,0.110010984
3679,0.095161007
3693,0.091689087
3695,0.107516552
3705,0.092860797
3767,0.097534768
3820,0.122453783
3850,0.095568764
3854,0.188728372
3873,0.129991974
3933,0.121644429
3985,0.080696579
3995,0.106040916
4035,0.089429946
4063,0.10060996
4073,0.093331353
4276,0.131099713
4364,0.125400942
4372,0.093478374
4544,0.087064563
4584,0.126078225
4603,0.098207777
4669,0.077078663
4680,0.087962974
4705,0.080065883
4794,0.094200306
4816,0.09323972
4845,0.124249729
4862,0.087264025
4869,0.102899566
2723,0.108946069
3108,0.096672839
3710,0.114035191
4916,0.108561639
4954,0.112229217
4970,0.107136455
4974,0.085331533
5152,0.09063681
5184,0.145063194
5236,0.095229306
5250,0.09406571
5278,0.089458611
5286,0.114774225
5330,0.114034475
5354,0.084822349
5469,0.08432529
5477,0.087431278
5511,0.122443806
5542,0.100115752
5643,0.061402335
5680,0.094264249
5731,0.112879407
5785,0.083110362
5818,0.151077695
6130,0.054895716
6229,0.091487484
6382,0.121937127
6673,0.123322103
6709,0.102682848
6719,0.112763618
6749,0.155794825
6752,0.068568227
6810,0.118544718
6860,0.079709286
6886,0.102143237
6946,0.091953649
7134,0.084778312
7138,0.09376677
7154,0.090820013
7188,0.158277402
7233,0.085954981
7234,0.10682762
7301,0.123340965
7306,0.097436049
7388,0.09398675
7423,0.098860313
7447,0.099075232
7480,0.103910781
7549,0.089168135
7593,0.092311641
7615,0.084186241
7638,0.077168025
7662,0.081494421
7805,0.090880752
7809,0.078965095
7828,0.106293074
7847,0.092886499
7882,0.095109495
7889,0.093601517
7947,0.115316253
7970,0.0940037
8056,0.065540712
8094,0.099888202
8206,0.098141751
8212,0.07328343
8395,0.100586389
8556,0.09964659
8679,0.092566432
8759,0.088427105
8866,0.089702999
9006,0.111959699
9043,0.154319138
9137,0.090533388
9155,0.102977776
9212,0.091546692
9242,0.060904936
9286,0.098632925
9349,0.115103156
9368,0.093427215
9522,0.138266552
9585,0.092430216
9598,0.100032182
9633,0.112687235
9730,0.094732637
9799,0.097571116
